keyword,Occurrence,2023-03-02,2023-03-01,2023-02-28,2023-02-27,2023-02-26,2023-02-25,2023-02-24,slope
LSD,8.383233532934131,8.383233532934131,1.8018018018018018,3.546099290780142,0.0,0.0,0.0,0.0,1.1535501247566478
Arbitrum,4.790419161676647,4.790419161676647,0.0,0.0,0.5747126436781609,0.0,0.0,1.7543859649122806,0.3252892710818964
Aptos,2.9940119760479043,2.9940119760479043,0.45045045045045046,0.0,0.0,0.0,0.0,0.0,0.3529620296087362
DeFi,2.3952095808383236,2.3952095808383236,1.3513513513513513,1.4184397163120568,4.597701149425287,2.631578947368421,2.631578947368421,1.7543859649122806,-0.06611155626115621
通信协议,2.3952095808383236,2.3952095808383236,0.0,1.4184397163120568,1.1494252873563218,0.0,0.0,0.0,0.30728815924382236
Blur,2.3952095808383236,2.3952095808383236,5.405405405405405,2.8368794326241136,0.5747126436781609,0.0,7.894736842105263,0.0,0.18013733220497744
Pantheon,2.3952095808383236,2.3952095808383236,0.0,0.0,0.0,0.0,0.0,0.0,0.2566295979469632
BitKeep,1.7964071856287425,1.7964071856287425,0.0,0.0,0.5747126436781609,0.0,0.0,0.0,0.1924721984602224
Polygon,1.7964071856287425,1.7964071856287425,0.0,0.0,0.0,0.0,0.0,0.5847953216374269,0.12981555685621238
Bitget,1.7964071856287425,1.7964071856287425,0.45045045045045046,0.7092198581560284,0.5747126436781609,0.0,0.0,0.0,0.24997651128368414
Polychain,1.7964071856287425,1.7964071856287425,0.0,0.0,0.0,0.0,0.0,0.0,0.19247219846022237
Celer,1.7964071856287425,1.7964071856287425,0.0,0.0,0.0,0.0,0.0,0.0,0.19247219846022237
LQTY,1.7964071856287425,1.7964071856287425,0.0,0.0,0.0,0.0,0.0,0.0,0.19247219846022237
ETH,1.7964071856287425,1.7964071856287425,0.0,0.7092198581560284,0.5747126436781609,0.0,0.0,0.0,0.217801479108652
Coinbase,1.7964071856287425,1.7964071856287425,0.0,0.0,2.2988505747126435,5.263157894736842,2.631578947368421,12.865497076023392,-1.5619137664520581
23,1.1976047904191618,1.1976047904191618,2.2522522522522523,0.0,0.0,0.0,0.0,0.0,0.28918995984864243
Order,1.1976047904191618,1.1976047904191618,0.0,0.0,0.0,0.0,0.0,0.0,0.1283147989734816
大会,1.1976047904191618,1.1976047904191618,0.0,0.0,0.0,0.0,0.0,0.0,0.1283147989734816
Omnichain,1.1976047904191618,1.1976047904191618,0.0,0.0,0.0,0.0,0.0,0.0,0.1283147989734816
ZKP,1.1976047904191618,1.1976047904191618,0.45045045045045046,0.0,0.0,0.0,0.0,0.0,0.16048983114851378
GQ,1.1976047904191618,1.1976047904191618,0.0,0.0,0.0,0.0,0.0,0.0,0.1283147989734816
Optimism,1.1976047904191618,1.1976047904191618,0.9009009009009009,0.0,4.022988505747127,0.0,0.0,0.5847953216374269,0.13000822171953594
Uniswap,1.1976047904191618,1.1976047904191618,0.0,0.0,0.0,0.0,0.0,0.0,0.1283147989734816
Nouns,1.1976047904191618,1.1976047904191618,0.0,0.0,0.0,0.0,0.0,0.0,0.1283147989734816
0xAcid,1.1976047904191618,1.1976047904191618,0.0,0.0,0.0,0.0,0.0,0.0,0.1283147989734816
